"","Record.ID","Catalog.Nu","Match.Taxo","Scientific","Vernacular","Matched.Sc","Taxon.Rank","Vernacul_1","Kingdom..","Phylum...m","Class...ma","Order...ma","Family...m","Genus...ma","Species..","Subspecies","Institutio","Collection","locality","Latitude..","Longitude","geodetic.D","Latitude_1","Longitud_1","Coordinate","Country..","Collector","Year...par","Month...pa","Event.Date","Basis.Of.R","Basis.Of_1","Sex","Outlier.fo","Taxon.iden","Location.Q","Data.Resou","Data.Res_1","Occurrence","Coordina_1","Country.in","Data.are.g","Coordina_2","Coordina_3","First.of.t","First.of_1","First.of_2","Geodetic_1","Incomplete","Possible.d","Invalid.co","Coordina_4","Coordina_5","Collecti_1","Institut_1","unrecognis","Unrecogniz","coords.x1","coords.x2","optional"
"3230","5791c4a0-91fe-4488-8f87-75a75382e218","URN:CornellLabOfOrnithology:EBIRD:OBS240613166","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"Lamington National Park",-28.2439,153.17276,"EPSG:4326",-28.2439,153.17276,NA,"Australia","Randy Yuen","2002","12","2002-12-04","HumanObservation","HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",153.17276,-28.2439,TRUE
"3231","8114abd5-bff2-48dd-91af-e8426a4ae2b3","A32403","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti",NA,"Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"45 North St, Nth Tamborine, Tamborine Mountain",-27.9233,153.1867,NA,-27.9233,153.1867,NA,"Australia","Joy Guyatt","2008","9","2008-09-15","Observation","HumanObservation",NA,NA,"noIssue","true","dr7231","Tamborine Mountain Weekly Bird Observations","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",153.1867,-27.9233,TRUE
"3232","aea28c10-59c4-4141-beac-715388c5f71e","A32404","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti",NA,"Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"45 North St, Nth Tamborine, Tamborine Mountain",-27.9233,153.1867,NA,-27.9233,153.1867,NA,"Australia","Joy Guyatt","2008","9","2008-09-08","Observation","HumanObservation",NA,NA,"noIssue","true","dr7231","Tamborine Mountain Weekly Bird Observations","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",153.1867,-27.9233,TRUE
"3233","158b30c1-62bf-4bf9-942d-7ed35c09a6e4","URN:CornellLabOfOrnithology:EBIRD:OBS426263312","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"Border Ranges National Park--Sheepstation Creek camping area",-28.4131463,153.0231839,NA,-28.4131463,153.0231839,NA,"Australia","S31316061 eBird - Traveling Count","2016","8","2016-08-26",NA,"HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",153.0231839,-28.4131463,TRUE
"3234","08da543a-a780-4f14-972a-309582b4e64b","SF-465776","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,"NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld",-28.589009093,153.326688573,"GDA94",-28.589009092,153.326688573,100,"Australia","SFOBS-070","1995","10","1995-10-05","HumanObservation","HumanObservation","Unknown",NA,"noIssue","true","dr368","OEH Atlas of NSW Wildlife","false","false","false","true","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false",153.326688573,-28.589009092,TRUE
"3235","ce61b79c-e4fd-4f8e-af77-841d0afe3c5d","URN:CornellLabOfOrnithology:EBIRD:OBS285509096","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"Main Range National Park--Goomburra Section",-27.98794,152.36335,"EPSG:4326",-27.98794,152.36335,NA,"Australia","Mike Wood","2014","12","2014-12-15","HumanObservation","HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",152.36335,-27.98794,TRUE
"3236","b8adf363-407f-458c-94ba-bdfb30fdf36b","SF-465811","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,"NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld",-28.57980956,153.331077623,"GDA94",-28.57980956,153.33107762,100,"Australia","SFOBS-070","1995","10","1995-10-05","HumanObservation","HumanObservation","Unknown",NA,"noIssue","true","dr368","OEH Atlas of NSW Wildlife","false","true","false","true","false","true","false","false","false","false","false","true","false","false","false","true","true","false","false",153.33107762,-28.57980956,TRUE
"3237","f6e45e5d-9861-4926-97a9-fad41ca89009","URN:CornellLabOfOrnithology:EBIRD:OBS93585959","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"O'Reilly's Rainforest Retreat",-28.231186,153.1358528,"EPSG:4326",-28.231186,153.1358528,NA,"Australia","Nigel Jackett","2003","10","2003-10-04","HumanObservation","HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",153.1358528,-28.231186,TRUE
"3238","424079d8-b1ac-42a1-83f9-3fdb2d79f565","URN:CornellLabOfOrnithology:EBIRD:OBS286499787","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"Tamborine National Park--Witches Falls trail",-27.9370484,153.1797298,"EPSG:4326",-27.9370484,153.1797298,NA,"Australia","Niel Bruce","2014","12","2014-12-22","HumanObservation","HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",153.1797298,-27.9370484,TRUE
"3239","d77ae063-4aac-442c-bf88-939fce472394","URN:CornellLabOfOrnithology:EBIRD:OBS443955212","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"O'Reilly's Rainforest Retreat",-28.231186,153.1358528,NA,-28.231186,153.1358528,NA,"Australia","S32612873 eBird - Traveling Count","2016","11","2016-11-10",NA,"HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",153.1358528,-28.231186,TRUE
